geom,nombre,empresa,tipo_yacim,estado,mineral_pr,geojson
0104000020E61000000100000001010000003333333333B350C08FC2F5285C4F38C0,El Quevar,SILEX ARGENTINA S.A.,,Evaluación económica preliminar,Plata,"{""type"":""MultiPoint"",""coordinates"":[[-66.8,-24.31]]}"
0104000020E6100000010000000101000000EC51B81E85AB50C014AE47E17A9438C0,Pastos Grandes,PROYECTO PASTOS GRANDES S.A.,,Factibilidad,Litio,"{""type"":""MultiPoint"",""coordinates"":[[-66.68,-24.58]]}"
0104000020E61000000100000001010000003D0AD7A370AD50C014AE47E17A9438C0,PPG,LITHEA INC. SUCURSAL ARGENTINA,,Evaluación económica preliminar,Litio,"{""type"":""MultiPoint"",""coordinates"":[[-66.71,-24.58]]}"
0104000020E61000000100000001010000009A999999998951C0AE47E17A146E47C0,Cerro Negro,OROPLATA S.A.,,Producción,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-70.15,-46.86]]}"
0104000020E61000000100000001010000007B14AE47E1AA50C00AD7A3703D0A48C0,Cerro Moro,ESTELAR RESOURCES LIMITED - SUCURSAL ARGENTINA,,Producción,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-66.67,-48.08]]}"
0104000020E6100000010000000101000000713D0AD7A31051C052B81E85EB3148C0,Cerro Vanguardia,CERRO VANGUARDIA S.A.,,Producción,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-68.26,-48.39]]}"
0104000020E61000000100000001010000000AD7A3703D6A51C0B81E85EB515848C0,Mina Martha,CERRO CAZADOR S.A.,,Producción,Plata,"{""type"":""MultiPoint"",""coordinates"":[[-69.66,-48.69]]}"
0104000020E610000001000000010100000000000000006051C0A4703D0AD76348C0,Manantial Espejo,MINERA TRITON ARGENTINA S.A.,,Producción,Plata,"{""type"":""MultiPoint"",""coordinates"":[[-69.5,-48.78]]}"
0104000020E6100000010000000101000000AE47E17A14AE50C03D0AD7A3707D37C0,Olaroz,SALES DE JUJUY S. A.,,Producción,Litio,"{""type"":""MultiPoint"",""coordinates"":[[-66.72,-23.49]]}"
0104000020E61000000100000001010000008FC2F5285C7F51C014AE47E17A543DC0,Lama,BARRICK EXPLORACIONES ARGENTINA S.A.,,Factibilidad,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-69.99,-29.33]]}"
0104000020E610000001000000010100000048E17A14AE5750C0F6285C8FC2D544C0,Sierra Grande,MCC MINERA SIERRA GRANDE S.A.,,Mantenimiento,Hierro,"{""type"":""MultiPoint"",""coordinates"":[[-65.37,-41.67]]}"
0104000020E61000000100000001010000003333333333A351C09A999999997947C0,Lomada de Leiva,PATAGONIA GOLD S.A.,,Proceso de Cierre,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-70.55,-46.95]]}"
0104000020E6100000010000000101000000AE47E17A149E51C09A99999999F947C0,Cap-Oeste,PATAGONIA GOLD S.A.,,Mantenimiento,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-70.47,-47.95]]}"
0104000020E610000001000000010100000048E17A14AE1752C085EB51B81EC549C0,Río Turbio,YACIMIENTO CARBONIFERO RIO TURBIO,,Producción,Carbón,"{""type"":""MultiPoint"",""coordinates"":[[-72.37,-51.54]]}"
0104000020E6100000010000000101000000713D0AD7A3F050C09A99999999D947C0,Don Nicolás,MINERA DON NICOLÁS,,Producción,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-67.76,-47.7]]}"
0104000020E610000001000000010100000052B81E85EB3151C0713D0AD7A3B045C0,Cerro Solo,CNEA,,Exploración avanzada,Uranio,"{""type"":""MultiPoint"",""coordinates"":[[-68.78,-43.38]]}"
0104000020E6100000010000000101000000C3F5285C8F9251C0F6285C8FC2B547C0,Lejano,COEUR ARGENTINA S.R.L. (ex polimet),,Exploración avanzada,Plata,"{""type"":""MultiPoint"",""coordinates"":[[-70.29,-47.42]]}"
0104000020E6100000010000000101000000AE47E17A14AE50C09A99999999D938C0,Centenario-Ratones,ERAMINE SUDAMERICA S.A.,,Factibilidad,Litio,"{""type"":""MultiPoint"",""coordinates"":[[-66.72,-24.85]]}"
0104000020E610000001000000010100000052B81E85EBF150C014AE47E17A1439C0,Lindero,MANSFIELD MINERA S.A.,,Construcción,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-67.78,-25.08]]}"
0104000020E61000000100000001010000001F85EB51B8AE50C0AE47E17A14AE37C0,Cauchari,SOUTH AMERICAN SALARS S.A.,,Prefactibilidad,Litio,"{""type"":""MultiPoint"",""coordinates"":[[-66.73,-23.68]]}"
